leaid,leaname,fips,stateabb,gsmean_pool,gsgrdslope_pool,gscohslope_pool,gsmathslope_pool,gsmeanse_pool,gsgrdslopese_pool,gscohslopese_pool,gsmathslopese_pool
5003720,EDEN SCHOOL DISTRICT,VT,VT,.1006196125800596,.8522796380147102,-.1176727159560745,-.2037707540745385,.2559355968252787,.131823546670719,.0856633352097549,.3189998612308668
5003780,ENOSBURGH TOWN SCHOOL DISTRICT,VT,VT,.3923255368402092,1.16259617951952,.1732202919326987,-.0500503471958787,.0804334871725358,.0650632032755018,.0485129036911294,.1500117495542161
5003810,ESSEX JUNCTION ID SCHOOL DISTRICT,VT,VT,1.577022403088622,1.211328854841186,.0913960809595848,.2270486003135957,.0595209877258629,.0502018405700676,.0382520760409729,.1140561134623405
5003840,ESSEX TOWN SCHOOL DISTRICT,VT,VT,1.430523043073988,1.266534593361512,-.0613928004694474,.1311745711409766,.0549909060748192,.0474306290542565,.035841053732815,.1062132937828304
5003870,FAIR HAVEN SCHOOL DISTRICT,VT,VT,.6198898856904069,1.191293117216491,.2964032380650813,-.4628458273636849,.0778436451450754,.0623705775243716,.0478502781706241,.145719130792288
5003930,FAIRFAX SCHOOL DISTRICT,VT,VT,.9815567952157958,1.118938151832266,.0758497768634523,.1349014437703488,.0687478647640589,.0570057446877233,.0439451820098798,.1306973409583493
5003960,FAIRFIELD SCHOOL DISTRICT,VT,VT,1.054429594334873,.9906787589106629,.0854387805133747,-.3580456369545837,.0965585036553057,.0717933829507695,.0555761722369515,.1746758389172826
5004020,FAYSTON SCHOOL DISTRICT,VT,VT,1.729694157987602,1.079837740714419,.121567875164255,.490736213136703,.3074085229084799,.141765461554944,.0858821756243547,.3376871035884841
5004050,FERRISBURG SCHOOL DISTRICT,VT,VT,1.459758018287046,1.084386867010984,.1929160711138133,-.7428729762006679,.132775379611588,.0932192276951122,.059493687850555,.1937894681364001
5004080,FLETCHER SCHOOL DISTRICT,VT,VT,.6717322280618729,1.016355275554726,.0634686445636445,-.0266348328703758,.542546232285789,.1430796433937709,.0953206844404847,.3774648164210696
5004110,FRANKLIN SCHOOL DISTRICT,VT,VT,1.494487642060465,.9538310845540975,-.0185326458065747,-.2631130804081568,.2289283858991762,.1305474846036179,.0801817088920668,.2932077228022499
5004140,GEORGIA SCHOOL DISTRICT,VT,VT,1.276574161128588,1.023601746141452,.0202475801598846,.2950385011149429,.064683238733618,.05350465319573,.0415536345788168,.1235269466243618
5004290,GRAND ISLE SCHOOL DISTRICT,VT,VT,.1202671327587765,1.018708628227997,-.0413282706855809,.3248613029169613,.099195088706391,.0739734040913477,.0556762571526598,.1779741683835146
5004470,GUILFORD SCHOOL DISTRICT,VT,VT,.219794768750476,1.039440782317457,-.1170989783338271,-.1245932552457705,.2310086358483586,.123419114416625,.0838814079810497,.3066705167750899
